Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",138.700000,-93.820000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",142.000000,-90.000000,180.000000,bottom
"C5","100nF","C_0402_1005Metric",138.000000,-87.200000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",140.000000,-87.200000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",142.100000,-93.100000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",140.700000,-93.820000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",136.700000,-93.800000,90.000000,bottom
"C12","100nF","C_0402_1005Metric",136.000000,-89.600000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",135.900000,-92.200000,0.000000,bottom
"C14","4.7uF","C_0402_1005Metric",135.500000,-87.800000,90.000000,bottom
"C16","4.7uF","C_0402_1005Metric",142.000000,-91.200000,180.000000,bottom
"J1","Raspberry_Pi_4","PinSocket_2x20_P2.54mm_Vertical_SMD",134.000000,-121.000000,90.000000,bottom
"C1","1uF","C_0402_1005Metric",124.000000,-100.600000,90.000000,top
"C2","100nF","C_0402_1005Metric",125.000000,-100.600000,90.000000,top
"C6","4.7uF","C_0402_1005Metric",131.500000,-86.200000,0.000000,top
"C8","100nF","C_0402_1005Metric",143.000000,-84.000000,90.000000,top
"C15","4.7uF","C_0402_1005Metric",132.600000,-85.200000,0.000000,top
"C17","4.7uF","C_0402_1005Metric",126.600000,-80.090000,180.000000,top
"C18","15pF","C_0402_1005Metric",147.600000,-93.200000,0.000000,top
"C19","15pF","C_0402_1005Metric",150.200000,-90.600000,90.000000,top
"C20","100nF","C_0402_1005Metric",149.800000,-114.265000,90.000000,top
"C21","100nF","C_0402_1005Metric",150.600000,-111.600000,180.000000,top
"C22","1uF","C_0402_1005Metric",152.412500,-105.985000,0.000000,top
"C23","10uF","C_0603_1608Metric",156.012500,-108.185000,180.000000,top
"C24","10uF","C_0603_1608Metric",149.512500,-105.885000,90.000000,top
"C25","100nF","C_0402_1005Metric",155.000000,-114.300000,90.000000,top
"C26","100nF","C_0402_1005Metric",157.000000,-111.600000,0.000000,top
"C27","100nF","C_0402_1005Metric",114.992500,-108.000000,0.000000,top
"C28","4.7uF","C_0402_1005Metric",115.000000,-109.000000,0.000000,top
"C29","1uF","C_0402_1005Metric",123.600000,-88.600000,-90.000000,top
"C30","1uF","C_0402_1005Metric",125.000000,-88.600000,-90.000000,top
"D1","MSS2P3","D_MicroSMP_AK",156.712500,-106.285000,0.000000,top
"D2","1N4148WT","D_SOD-523",170.177500,-95.800000,180.000000,top
"D3","1N4148WT","D_SOD-523",180.500000,-95.850000,180.000000,top
"D4","Red","LED_0603_1608Metric",136.800000,-77.112500,-90.000000,top
"D5","Green","LED_0603_1608Metric",138.800000,-77.112500,-90.000000,top
"D6","Yellow","LED_0603_1608Metric",140.800000,-77.112500,-90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",182.300000,-110.800000,90.000000,top
"J3","Conn_01x14_Pin","PinHeader_1x14_P2.54mm_Vertical",104.475000,-78.700000,0.000000,top
"J4","Conn_01x08_Pin","PinSocket_1x08_P2.54mm_Vertical_SMD_Pin1Left",137.930000,-72.370000,-90.000000,top
"J5","Conn_01x10_Pin","PinSocket_1x10_P2.54mm_Vertical_SMD_Pin1Left",144.534000,-120.630000,-90.000000,top
"J6","Conn_01x06_Pin","PinSocket_1x06_P2.54mm_Vertical_SMD_Pin1Left",117.610000,-72.370000,-90.000000,top
"J7","Conn_01x08_Pin","PinSocket_1x08_P2.54mm_Vertical_SMD_Pin1Left",120.150000,-120.630000,-90.000000,top
"J8","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",111.260000,-100.260000,180.000000,top
"J9","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",151.400000,-82.060000,0.000000,top
"J10","Conn_01x02_Pin","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",173.000000,-73.850000,180.000000,top
"J11","Conn_01x02_Pin","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",182.000000,-73.850000,180.000000,top
"J12","Conn_01x02_Pin","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",155.475000,-73.850000,180.000000,top
"K1","EE2-3TNUH","Relay_DPDT_Kemet_EE2_NU",169.355000,-86.850000,180.000000,top
"K2","EE2-3TNUH","Relay_DPDT_Kemet_EE2_NU",180.355000,-86.850000,180.000000,top
"L1","3u3","AOTA-B201610S3R3-101-T",131.100000,-87.800000,0.000000,top
"L2","2.2uH","L_1008_2520Metric",152.412500,-104.085000,180.000000,top
"Q1","DMG1012TQ-7","SOT-523",167.677500,-95.800000,0.000000,top
"Q2","DMG1012TQ-7","SOT-523",178.000000,-95.850000,0.000000,top
"R1","5.6k","R_0402_1005Metric",177.000000,-112.700000,-90.000000,top
"R2","1k","R_0402_1005Metric",135.275000,-103.090000,-90.000000,top
"R3","5.6k","R_0402_1005Metric",177.000000,-108.400000,-90.000000,top
"R4","27R","R_0402_1005Metric",132.600000,-84.200000,0.000000,top
"R5","1k","R_0402_1005Metric",146.300000,-86.600000,0.000000,top
"R6","0R","R_0402_1005Metric",145.800000,-85.000000,-90.000000,top
"R7","1k","R_0402_1005Metric",129.000000,-83.000000,-90.000000,top
"R8","27R","R_0402_1005Metric",131.200000,-89.800000,0.000000,top
"R9","27R","R_0402_1005Metric",131.200000,-90.800000,0.000000,top
"R10","1k","R_0402_1005Metric",147.500000,-88.800000,180.000000,top
"R11","100k","R_0402_1005Metric",154.502500,-110.285000,180.000000,top
"R12","49.9k","R_0402_1005Metric",149.232500,-109.185000,180.000000,top
"R13","15.8k","R_0402_1005Metric",149.222500,-110.185000,0.000000,top
"R14","1k","R_0402_1005Metric",165.800000,-95.800000,-90.000000,top
"R15","1k","R_0402_1005Metric",117.012500,-106.090000,-90.000000,top
"R16","1k","R_0402_1005Metric",115.912500,-106.090000,-90.000000,top
"R17","1k","R_0402_1005Metric",176.100000,-95.850000,-90.000000,top
