"Reference","Value","Footprint","MPN"
"R7","0R","Resistor_SMD:R_0402_1005Metric","RC0402FR-070RL"
"C18,C19","15pF","Capacitor_SMD:C_0402_1005Metric","GJM1555C1H150GB01D"
"C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C20,C21,C22,C23,C29","100nF","Capacitor_SMD:C_0402_1005Metric","CL05B104KP5NNNC"
"C1,C24,C27,C28","1uF","Capacitor_SMD:C_0402_1005Metric","JMK105BJ105KV-F"
"L2","2.2uH","Inductor_SMD:L_1008_2520Metric","DFE252012P-2R2M=P2"
"C6,C14,C15,C16,C17,C30","4.7uF","Capacitor_SMD:C_0402_1005Metric","JMK105BBJ475MV-F"
"C25,C26","10uF","Capacitor_SMD:C_0603_1608Metric","GRM188R61E106KA73J"
"R5,R10,R11","27R","Resistor_SMD:R_0402_1005Metric","RC0402FR-1327RL"
"R3,R6,R8,R9,R12,R13,R14,R15,R19,R20,R21,R22","1k","Resistor_SMD:R_0402_1005Metric","RC0402FR-131KL"
"R2,R4","5.6k","Resistor_SMD:R_0402_1005Metric","RC0402FR-135K6L"
"R1","10k","Resistor_SMD:R_0402_1005Metric","RC0402FR-1310KL"
"R18","15.8k","Resistor_SMD:R_0402_1005Metric","RC0402FR-1315K8L"
"R17","49.9k","Resistor_SMD:R_0402_1005Metric","RC0402FR-1349K9L"
"R16","100k","Resistor_SMD:R_0402_1005Metric","RC0402FR-13100KL"
"Y1","12Mhz","X_Abracon:Crystal_SMD_Abracon_ABM8-272-T3-4Pin_3.2x2.5mm","ABM8-272-T3"
"L1","3u3","L_Abracon:AOTA-B201610S3R3-101-T","AOTA-B201610S3R3-101-T"
"U7","AOZ1280CI","Package_TO_SOT_SMD:SOT-23-6","AOZ1280CI"
"D5,D6","BAT54XV2T1G","Diode_SMD:D_SOD-523","BAT54XV2T1G"
"J10,J11","Conn_01x03_Pin","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","S3B-XH-A-1"
"J7","Conn_01x06_Pin","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical_SMD_Pin1Left","NPTC061KFXC-RC"
"J5,J8","Conn_01x08_Pin","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical_SMD_Pin1Left","NPTC081KFXC-RC"
"J6","Conn_01x10_Pin","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical_SMD_Pin1Left","NPTC101KFXC-RC"
"J2","Conn_01x14_Pin","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","77311-101-14LF"
"J9","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","67997-206HLF"
"Q1,Q2","DMG1012TQ-7","Package_TO_SOT_SMD:SOT-523","DMG1012TQ-7"
"K1,K4","EE2-3NUH","Relay_SMD:Relay_DPDT_Kemet_EE2_NUH",""
"D2","Green","LED_SMD:LED_0603_1608Metric","LTST-C190GKT"
"U5,U6","LM66100DCK","Package_TO_SOT_SMD:SOT-363_SC-70-6","LM66100DCKR"
"U4","LM4040C33FTA","Package_TO_SOT_SMD:SOT-23","LM4040C33FTA"
"U9","MCP4728","Package_SO:MSOP-10_3x3mm_P0.5mm","MCP4728T-E/UN"
"D4","MSS2P3","Diode_SMD:D_MicroSMP_AK","MSS2P3-M3/89A"
"U2","NUP2202","Package_TO_SOT_SMD:SOT-363_SC-70-6","NUP2202W1T2G"
"J4","Raspberry_Pi_4","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical_SMD","NPTC202KFMS-RC"
"D1","Red","LED_SMD:LED_0603_1608Metric","LTST-C190KRKT"
"U3","RP2350","Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm","RP2350B"
"SW3","SW_DIP_x04","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm","A6S-4102-PH"
"SW1,SW2","SW_Push","Button_Switch_SMD:SW_SPST_PTS647_Sx38","PTS647SK38SMTR2 LFS"
"U8","TCR2EE11","Package_TO_SOT_SMD:SOT-553","TCR2EE11,LM(CT"
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","USB4105-GF-A-120"
"U1","W25Q32JVSS","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","W25Q32JVSSIQ"
"D3","Yellow","LED_SMD:LED_0603_1608Metric","LTST-C190KSKT"
